anio;nomdpto;Gini
2011;ARTIGAS;0,3778690
2011;CANELONES;0,3728710
2011;CERRO LARGO;0,3322039
2011;COLONIA;0,3476645
2011;DURAZNO;0,3569544
2011;FLORES;0,3288166
2011;FLORIDA;0,3677648
2011;LAVALLEJA;0,3619632
2011;MALDONADO;0,3562475
2011;MONTEVIDEO;0,4002101
2011;PAYSANDU;0,3574745
2011;RIO NEGRO;0,3879314
2011;RIVERA;0,3774408
2011;ROCHA;0,3559280
2011;SALTO;0,3763512
2011;SAN JOSE;0,3474489
2011;SORIANO;0,3800255
2011;TACUAREMBO;0,3795975
2011;TREINTA Y TRES;0,4024985
2012;ARTIGAS;0,3573744
2012;CANELONES;0,3633469
2012;CERRO LARGO;0,3280279
2012;COLONIA;0,3406014
2012;DURAZNO;0,3507802
2012;FLORES;0,3316984
2012;FLORIDA;0,3576627
2012;LAVALLEJA;0,3587597
2012;MALDONADO;0,3388955
2012;MONTEVIDEO;0,3686819
2012;PAYSANDU;0,3447773
2012;RIO NEGRO;0,3489697
2012;RIVERA;0,3786575
2012;ROCHA;0,3409944
2012;SALTO;0,3391729
2012;SAN JOSE;0,3492241
2012;SORIANO;0,3542892
2012;TACUAREMBO;0,3514399
2012;TREINTA Y TRES;0,3498176
2013;ARTIGAS;0,3551869
2013;CANELONES;0,3621272
2013;CERRO LARGO;0,3152324
2013;COLONIA;0,3285537
2013;DURAZNO;0,3425832
2013;FLORES;0,3374163
2013;FLORIDA;0,3554828
2013;LAVALLEJA;0,3439323
2013;MALDONADO;0,3414150
2013;MONTEVIDEO;0,3853305
2013;PAYSANDU;0,3646841
2013;RIO NEGRO;0,3632177
2013;RIVERA;0,3879053
2013;ROCHA;0,3539623
2013;SALTO;0,3674185
2013;SAN JOSE;0,3294682
2013;SORIANO;0,3449242
2013;TACUAREMBO;0,3414121
2013;TREINTA Y TRES;0,3363558
2014;ARTIGAS;0,3565559
2014;CANELONES;0,3699352
2014;CERRO LARGO;0,3147889
2014;COLONIA;0,3351281
2014;DURAZNO;0,3494999
2014;FLORES;0,3419404
2014;FLORIDA;0,3482011
2014;LAVALLEJA;0,3413201
2014;MALDONADO;0,3501803
2014;MONTEVIDEO;0,3844527
2014;PAYSANDU;0,3426937
2014;RIO NEGRO;0,3514009
2014;RIVERA;0,3583075
2014;ROCHA;0,3503294
2014;SALTO;0,3494385
2014;SAN JOSE;0,3367232
2014;SORIANO;0,3542350
2014;TACUAREMBO;0,3552559
2014;TREINTA Y TRES;0,3678947
2015;ARTIGAS;0,3649405
2015;CANELONES;0,3662799
2015;CERRO LARGO;0,3299376
2015;COLONIA;0,3367548
2015;DURAZNO;0,3358132
2015;FLORES;0,3557556
2015;FLORIDA;0,3506792
2015;LAVALLEJA;0,3621272
2015;MALDONADO;0,3450424
2015;MONTEVIDEO;0,3857634
2015;PAYSANDU;0,3354904
2015;RIO NEGRO;0,3527878
2015;RIVERA;0,3589663
2015;ROCHA;0,3481278
2015;SALTO;0,3361360
2015;SAN JOSE;0,3331104
2015;SORIANO;0,3702545
2015;TACUAREMBO;0,3492386
2015;TREINTA Y TRES;0,3715385
2016;ARTIGAS;0,3523541
2016;CANELONES;0,3585043
2016;CERRO LARGO;0,3075061
2016;COLONIA;0,3364272
2016;DURAZNO;0,3520985
2016;FLORES;0,3249835
2016;FLORIDA;0,3354832
2016;LAVALLEJA;0,3697989
2016;MALDONADO;0,3438707
2016;MONTEVIDEO;0,3820837
2016;PAYSANDU;0,3340834
2016;RIO NEGRO;0,3290270
2016;RIVERA;0,3644152
2016;ROCHA;0,3428000
2016;SALTO;0,3412038
2016;SAN JOSE;0,3186829
2016;SORIANO;0,3336753
2016;TACUAREMBO;0,3530065
2016;TREINTA Y TRES;0,3617181
2017;ARTIGAS;0,3617810
2017;CANELONES;0,3539454
2017;CERRO LARGO;0,3253287
2017;COLONIA;0,3167098
2017;DURAZNO;0,3277161
2017;FLORES;0,3066880
2017;FLORIDA;0,3449705
2017;LAVALLEJA;0,3255753
2017;MALDONADO;0,3454037
2017;MONTEVIDEO;0,3861027
2017;PAYSANDU;0,3404684
2017;RIO NEGRO;0,3443578
2017;RIVERA;0,3402679
2017;ROCHA;0,3455158
2017;SALTO;0,3631766
2017;SAN JOSE;0,3118787
2017;SORIANO;0,3239776
2017;TACUAREMBO;0,3477181
2017;TREINTA Y TRES;0,3501757
2018;ARTIGAS;0,3272888
2018;CANELONES;0,3584227
2018;CERRO LARGO;0,3077928
2018;COLONIA;0,3010897
2018;DURAZNO;0,3417907
2018;FLORES;0,3048880
2018;FLORIDA;0,3195643
2018;LAVALLEJA;0,3186004
2018;MALDONADO;0,3303901
2018;MONTEVIDEO;0,3853861
2018;PAYSANDU;0,3329412
2018;RIO NEGRO;0,3280936
2018;RIVERA;0,3525338
2018;ROCHA;0,3484814
2018;SALTO;0,3452728
2018;SAN JOSE;0,2987757
2018;SORIANO;0,3404235
2018;TACUAREMBO;0,3438076
2018;TREINTA Y TRES;0,3639840
